	version_1	version_2	version_3
1	8350.t00001	9629.t00001	11667.t00001
2	8350.t00002	9629.t00002	11667.t00002
3	8350.t00003	9629.t00003	11667.t00003
4	8350.t00004	9629.t00004	11667.t00004
5	8350.t00005	9629.t00005	11667.t00005
6	8350.t00006	9629.t00006	11667.t00006
7	8350.t00007	9629.t00007	11667.t00007
8	8350.t00008	9629.t00008	11667.t00008
9	8350.t00009	9629.t00009	11667.t00009
10	8350.t00010	9629.t00010	11667.t00010
11	8350.t00011	9629.t00011	11667.t00011
12	8350.t00012	9629.t00012	11667.t00012
13	8350.t00013	9629.t00013	11667.t00013
14	8350.t00014	9629.t00014	11667.t00014
15	8350.t00015	9629.t00015	11667.t00015
16	8350.t00016	9629.t00016	11667.t00016
17	8350.t00017	9629.t00017	11667.t00017
18	8350.t00018	9629.t00018	11667.t00018
19	8350.t00019	9629.t00019	11667.t00019
20	8350.t00020	9629.t00020	11667.t00020
21	8350.t00021	9629.t00021	11667.t00021
22	8350.t00022	9629.t00022	11667.t00022
23	8350.t00023	9629.t00023	11667.t00023
24	8350.t00024	9629.t00024	11667.t00024
25	8350.t00025	9629.t00025	11667.t00025
26	8350.t00026	9629.t00026	11667.t00026
27	8350.t00027	9629.t00027	11667.t00027
28	8350.t00028	9629.t00028	11667.t00028
29	8350.t00029	9629.t00029	11667.t00029
30	8350.t00030	9629.t00030	11667.t00030
31	8350.t00031	9629.t00031	11667.t00031
32	8350.t00032	9629.t00032	11667.t00032
33	8350.t00033	9629.t00033	11667.t00033
34	8350.t00034	9629.t00034	11667.t00034
35	8350.t00035	9629.t00035	11667.t00035
36	8350.t00036	9629.t00036	11667.t00036
37	8350.t00037	9629.t00037	11667.t00037
38	8350.t00038	9629.t00038	11667.t00038
39	8350.t00039	9629.t00039	11667.t00039
40	8350.t00040	9629.t00040	11667.t00040
41	8350.t00041	9629.t00041	11667.t00041
42	8350.t00042	9629.t00042	11667.t00042
43	8350.t00043	9629.t00043	11667.t00043
44	8350.t00044	9629.t00044	11667.t00044
45	8350.t00045	9629.t00045	11667.t00045
46	8350.t00046	9629.t00046	11667.t00046
47	8350.t00047	9629.t00047	11667.t00047
48	8350.t00048	9629.t00048	11667.t00048
49	8350.t00049	9629.t00049	11667.t00049
50	8350.t00050	9629.t00050	11667.t00050
51	8350.t00051	9629.t00051	11667.t00051
52	8350.t00052	9629.t00052	11667.t00052
53	8350.t00053	9629.t00053	11667.t00053
54	8350.t00054	9629.t00054	11667.t00054
55	8350.t00055	9629.t00055	11667.t00055
56	8350.t00056	9629.t00056	11667.t00056
57	8350.t00057	9629.t00057	11667.t00057
58	8350.t00058	9629.t00058	11667.t00058
59	8350.t00059	9629.t00059	11667.t00059
60	8350.t00060	9629.t00060	11667.t00060
61	8350.t00061	9629.t00061	11667.t00061
62	8350.t00062	9629.t00062	11667.t00062
63	8350.t00063	9629.t00063	11667.t00063
64	8350.t00064	9629.t00064	11667.t00064
65	8350.t00065	9629.t00065	11667.t00065
66	8350.t00066	9629.t00066	11667.t00066
67	8350.t00067	9629.t00067	11667.t00067
68	8350.t00068	9629.t00068	11667.t00068
69	8350.t00069	9629.t00069	11667.t00069
70	8350.t00070	9629.t00070	11667.t00070
71	8350.t00071	9629.t00071	11667.t00071
72	8350.t00072	9629.t00072	11667.t00072
73	8350.t00073	9629.t00073	11667.t00073
74	8350.t00074	9629.t00074	11667.t00074
75	8350.t00075	9629.t00075	11667.t00075
76	8350.t00076	9629.t00076	11667.t00076
